A0Z40;691e;A1416
;;
A0Z41;691b;A1403
;;A1407
;;A1408
;;A1409
;;A1410
;;A1411
;;
;;
A0Z42;533b;A1201
;691f;A1204
;;A1205
;;
A0Z43;691a;A1101
;;
A1Z00;111b;
;121b;
;131b;
;;
A1Z01;111c;
;121c;
;131c;
;;
A1Z40;691c;A1402
;;A1414
;;
A1Z41;631a;A1202
;;A1203
;;F1101
;;
;;
A1Z42;691d;A1401
;;A1405
;;
;;
;;
A2Z70;471a;A1301
;471b;A1302
;480a;A1303
;;A1416
;;
;;
A2Z90;381a;A1301
;;A1302
;;A1303
;;
;;
;;
A3Z00;122c;
;;
A3Z40;692a;A1404
;;A1415
;;A1417
;;
A3Z41;656a;N3102
;;N3103
;;
A3Z90;389c;A1406
;480b;N3101
;;N3102
;;
;;
B0Z20;671b;F1401
;671a;F1402
;;F1701
;;F1702
;;F1704
;;F1705
;;I1502
;;
B0Z21;681a;F1501
;;F1502
;;F1503
;;F1608
;;F1610
;;F1611
;;F1613
;;F1703
;;
;;
B1Z40;211h;F1401
;621a;F1402
;621b;F1701
;621d;F1702
;621e;F1705
;621f;I1502
;621g;
;;
;;
B2Z40;211a;F1608
;632a;F1611
;;F1613
;;F1703
;;
B2Z41;214d;F1612
;632b;
;;
B2Z42;624d;F1502
;;
B2Z43;632c;F1501
;;F1503
;;
B2Z44;211c;F1610
;632e;
;;
;;
B3Z20;681b;F1601
;;F1602
;;F1603
;;F1604
;;F1605
;;F1606
;;F1607
;;F1609
;;H2206
;;
;;
B4Z41;211d;F1603
;632f;
;;
B4Z42;211b;F1604
;632d;F1607
;632j;H2206
;;
B4Z43;211e;F1602
;633a;F1605
;;
B4Z44;211f;F1601
;632g;F1606
;632h;F1609
;;
;;
B5Z40;621c;F1301
;651a;F1302
;;N1104
;;
;;
B6Z70;472b;F1107
;;
B6Z71;211j;F1103
;472d;F1105
;472c;F1106
;;F1108
;;F1204
;;
B6Z72;472a;F1104
;;
B6Z73;481a;F1201
;481b;F1202
;;
;;
B7Z90;382b;F1101
;312f;F1102
;;
B7Z91;382a;F1103
;382c;F1105
;;F1106
;;F1108
;;F1201
;;F1202
;;F1203
;;F1204
;;I1101
C0Z20;672a;H2601
;;H2602
;;H2603
;;H2604
;;H2605
;;
C1Z;Ouvriers qualifiés de l'électricité et de l'électronique;
;;
C1Z40;622b;H1504
;622a;H2601
;622g;H2602
;;H2603
;;H2604
;;H2605
;;
C2Z;Techniciens et agents de maîtrise de l'électricité et de l'électronique;
;;
C2Z70;473b;H1207
;473c;H1209
;;H1504
;;
"  **  (ROME H1207) Les ""rédacteurs de notices techniques"" analysent et exploitent l'ensemble des données caractérisant le produit.";;
  Ils rédigent une description détaillée du matériel, de son utilisation ainsi que les recommandations à son bon fonctionnement. Ce métier ROME est affecté par défaut à la famille C2Z70.;;
;;
C2Z71;473a;H1202
;;
"  *** (PCS 473a) Les dessinateurs d'exécution qui ont déclaré un statut d'employé sont reclassés dans la famille L2Z61 ""Agent administratif divers"" dans le domaine L ""Gestion, administration des entreprises"" .";;
;;
C2Z80;482a;H2501
;;
;;
D;Mécanique, travail des métaux *;
;;
;;
"  * (FAP D) Constat général : la frontière entre le domaine D ""Mécanique, travail des métaux"" et le domaine E ""Industries de process"" n'est pas évidente. ";;
;;
D0Z;Ouvriers non qualifiés travaillant par enlèvement ou formage de métal;
;;
D0Z20;673a;H2902
;673b;H2903
;;H2904
;;H2905
;;H2906
;;H2914
;;H3203
;;
D1Z;Ouvriers qualifiés travaillant par enlèvement de métal;
;;
D1Z40;628c;H2912
;628d;
;;
D1Z41;623f;H2903
;623g;H2905
;;H2906
;;H2908
;;H2910
;;H3203
;;
D2Z;Ouvriers qualifiés travaillant par formage de métal;
;;
D2Z40;211g;H2902
;212b;H2904
;623a;H2911
;634b;
;;
D2Z41;623b;H2914
;;
D2Z42;623c;H2913
;;
D3Z;Ouvriers non qualifiés de la mécanique;
;;
D3Z20;673c;H2901
;682a;H2909
;;H2911
;;H2913
;;H3401
;;H3402
;;H3403
;;H3404
;;I1603
;;I1604
;;I1606
;;I1607
;;
   * (ROME H2911 et ROME H2913) Ces 2 ROME de non qualifiés sont classés ici car la PCS 673c intègre les ouvriers non qualifiés de ces deux métiers.;;
  ** (ROME I1603, ROME I1604, ROME I1606 et ROME I1607) Ces 4 ROME de non qualifiés sont classés ici par rapprochement avec la PCS 682a qui intègre les ouvriers non qualifiés de ces métiers.;;
;;
D4Z;Ouvriers qualifiés de la mécanique;
;;
D4Z40;624a;H1506
;624g;H2901
;624e;H2909
;;
D4Z41;624f;H3401
;;H3402
;;H3403
;;H3404
;;
D6Z;Techniciens et agents de maîtrise des industries mécaniques;
;;
D6Z70;474b;H1506
;474c;H2908
;;H2910
;;H2912
;;
D6Z71;474a;H1203
;;
"  *** (PCS 474a) Les ""Dessinateurs en construction mécanique et travail des métaux""  sont classés ici par défaut (voir la famille C2Z71)";;
;;
D6Z80;212c;H2503
;212d;H2912
;483a;
;;
;;
E;Industries de process *;
;;
;;
   * (FAP E) Ce domaine professionnel comporte également des métiers artisanaux au sens du ROME.;;
;;
E0Z;Ouvriers non qualifiés des industries de process **;
;;
  ** (FAP E0Z) Constat général : la correspondance est imparfaite entre les professions PCS et les métiers ROME au niveau de chacune des familles professionnelles détaillées. ;;
;;
E0Z20;674a;H2301
;;H3201
;;
E0Z21;674b;A1412
;674c;A1413
;;H2101
;;H2102
;;
E0Z22;674d;F1706
;;H2801
;;H2803
;;H2907
;;
E0Z23;674e;H2203
;;H3101
;;H3102
;;
E0Z24;676e;H3301
;;H3302
;;H3303
;;
E1Z;Ouvriers qualifiés des industries de process;
;;
E1Z40;625a;H2701
;626a;H2804
;;H2805
;;
E1Z41;625c;H2301
;;H3201
;;H3202
;;
E1Z42;625e;A1412
;;A1413
;;H2102
;;
E1Z43;626b;H2802
;625h;F1706
;637a;H2801
;;H2803
;;H2907
;;B1201
;;B1602
;;
E1Z44;626c;H2203
;;H3101
;;H3102
;;
E1Z46;479a;H1201
;625b;H1503
;628f;
;;
E1Z47;628g;H3301
;;H3303
;;
E2Z;Techniciens et agents de maîtrise des industries de process;
;;
E2Z70;475a;H1210
;475b;H1404
;485a;H1503
;;H1505
;;H3202
;;
E2Z80;484a;H2504
;484b;
;;
;;
F;Matériaux souples, bois, industries graphiques *;
;;
;;
   * (FAP F) Ce domaine professionnel comporte également des métiers artisanaux au sens du ROME.;;
;;
F0Z;Ouvriers non qualifiés du textile et du cuir;
;;
F0Z20;675a;B1801
;;B1802
;;B1803
;;D1206
;;D1207
;;H2401
;;H2402
;;H2403
;;H2404
;;H2405
;;H2406
;;H2407
;;H2408
;;H2409
;;H2410
;;H2411
;;H2413
;;H2414
;;H2415
;;K2201
;;
F1Z;Ouvriers qualifiés du textile et du cuir;
;;
F1Z40;627a;H2401
;627b;H2402
